Facility,WWTP,Date,Lab,Target_Name,Copies_Per_Liter_WW,Sample_ID,Detection_Limit,Population,Sample_Type,No_of_Hours_Missed,flow
Fondren No.2,FONDREN#2,3/9/2021,R,SARS CoV-2 N2,23466.67,0309.FON2-2,3776.7,17237,Composite,NA,
Fondren No.2,FONDREN#2,3/9/2021,R,SARS CoV-2 N1,26400,0309.FON2-2,6576.25,17237,Composite,NA,
W.C.I.D. 78,WCID#078,3/9/2021,R,SARS CoV-2 N2,112200,0309.WCID-1,3776.7,6350,Composite,NA,
W.C.I.D. 78,WCID#078,3/9/2021,R,SARS CoV-2 N1,148133.33,0309.WCID-1,6576.25,6350,Composite,NA,
W.C.I.D. 78,WCID#078,3/9/2021,R,SARS CoV-2 N2,103400,0309.WCID-2,3776.7,6350,Composite,NA,
W.C.I.D. 78,WCID#078,3/9/2021,R,SARS CoV-2 N1,126133.33,0309.WCID-2,6576.25,6350,Composite,NA,
Afton Village,AFTON VILLAGE,3/10/2021,R,SARS CoV-2 N2,2566.67,0310.AFVI-1,5573.39,2442,Composite,NA,
Afton Village,AFTON VILLAGE,3/10/2021,R,SARS CoV-2 N1,4546.67,0310.AFVI-1,5474.94,2442,Composite,NA,
Afton Village,AFTON VILLAGE,3/10/2021,R,SARS CoV-2 N2,660,0310.AFVI-2,5573.39,2442,Composite,NA,
Afton Village,AFTON VILLAGE,3/10/2021,R,SARS CoV-2 N1,1320,0310.AFVI-2,5474.94,2442,Composite,NA,
Brock LS 26,BROCK,3/10/2021,R,SARS CoV-2 N2,22733.33,0310.BROC-1,5573.39,27548,Composite,NA,
Brock LS 26,BROCK,3/10/2021,R,SARS CoV-2 N1,22000,0310.BROC-1,5474.94,27548,Composite,NA,
Brock LS 26,BROCK,3/10/2021,R,SARS CoV-2 N2,38866.67,0310.BROC-2,5573.39,27548,Composite,NA,
Brock LS 26,BROCK,3/10/2021,R,SARS CoV-2 N1,49866.67,0310.BROC-2,5474.94,27548,Composite,NA,
Chatwood,CHATWOOD,3/10/2021,R,SARS CoV-2 N2,54266.67,0310.CHAT-1,5573.39,2594,Composite,NA,
Chatwood,CHATWOOD,3/10/2021,R,SARS CoV-2 N1,67466.67,0310.CHAT-1,5474.94,2594,Composite,NA,
Chatwood,CHATWOOD,3/10/2021,R,SARS CoV-2 N2,129800,0310.CHAT-2,5573.39,2594,Composite,NA,
Chatwood,CHATWOOD,3/10/2021,R,SARS CoV-2 N1,164266.67,0310.CHAT-2,5474.94,2594,Composite,NA,
Cherry oak,CHERRY OAK,3/10/2021,R,SARS CoV-2 N2,33733.33,0310.CHER-1,5573.39,11456,Composite,NA,
Cherry oak,CHERRY OAK,3/10/2021,R,SARS CoV-2 N1,34466.67,0310.CHER-1,5474.94,11456,Composite,NA,
Cherry oak,CHERRY OAK,3/10/2021,R,SARS CoV-2 N2,42533.33,0310.CHER-2,5573.39,11456,Composite,NA,
Cherry oak,CHERRY OAK,3/10/2021,R,SARS CoV-2 N1,46933.33,0310.CHER-2,5474.94,11456,Composite,NA,
De Priest,DE PRIEST,3/10/2021,R,SARS CoV-2 N2,2273.33,0310.PRIE-1,5573.39,4849,Composite,NA,
De Priest,DE PRIEST,3/10/2021,R,SARS CoV-2 N1,6600,0310.PRIE-1,5474.94,4849,Composite,NA,
De Priest,DE PRIEST,3/10/2021,R,SARS CoV-2 N2,1100,0310.PRIE-2,5573.39,4849,Composite,NA,
De Priest,DE PRIEST,3/10/2021,R,SARS CoV-2 N1,4473.33,0310.PRIE-2,5474.94,4849,Composite,NA,
Ferguson Way,FERGUSON WAY,3/10/2021,R,SARS CoV-2 N2,324358.97,0310.FERG-1,21436.11,2013,Composite,NA,
Ferguson Way,FERGUSON WAY,3/10/2021,R,SARS CoV-2 N1,363846.15,0310.FERG-1,21057.47,2013,Composite,NA,
Ferguson Way,FERGUSON WAY,3/10/2021,R,SARS CoV-2 N2,330000,0310.FERG-2,23222.45,2013,Composite,NA,
Ferguson Way,FERGUSON WAY,3/10/2021,R,SARS CoV-2 N1,381944.44,0310.FERG-2,22812.26,2013,Composite,NA,
Heights,HEIGHTS,3/10/2021,R,SARS CoV-2 N2,32266.67,0310.HEIG-1,5573.39,1724,Composite,NA,
Heights,HEIGHTS,3/10/2021,R,SARS CoV-2 N1,29333.33,0310.HEIG-1,5474.94,1724,Composite,NA,
Heights,HEIGHTS,3/10/2021,R,SARS CoV-2 N2,27866.67,0310.HEIG-2,5573.39,1724,Composite,NA,
Heights,HEIGHTS,3/10/2021,R,SARS CoV-2 N1,30800,0310.HEIG-2,5474.94,1724,Composite,NA,
Janisch Rd,JANISCH RD,3/10/2021,R,SARS CoV-2 N2,10266.67,0310.JANI-1,5573.39,783,Composite,NA,
Janisch Rd,JANISCH RD,3/10/2021,R,SARS CoV-2 N1,13200,0310.JANI-1,5474.94,783,Composite,NA,
Janisch Rd,JANISCH RD,3/10/2021,R,SARS CoV-2 N2,17600,0310.JANI-2,5573.39,783,Composite,NA,
Janisch Rd,JANISCH RD,3/10/2021,R,SARS CoV-2 N1,17600,0310.JANI-2,5474.94,783,Composite,NA,
Kirkwood #3 LS/CFS 340,KIRKWOOD#3,3/10/2021,R,SARS CoV-2 N2,4546.67,0310.KIRK-1,5573.39,17464,Composite,NA,
Kirkwood #3 LS/CFS 340,KIRKWOOD#3,3/10/2021,R,SARS CoV-2 N1,9533.33,0310.KIRK-1,5474.94,17464,Composite,NA,
Kirkwood #3 LS/CFS 340,KIRKWOOD#3,3/10/2021,R,SARS CoV-2 N2,2786.67,0310.KIRK-2,5573.39,17464,Composite,NA,
Kirkwood #3 LS/CFS 340,KIRKWOOD#3,3/10/2021,R,SARS CoV-2 N1,8066.67,0310.KIRK-2,5474.94,17464,Composite,NA,
M.U.D 175-1 LS 281,MUD#175,3/10/2021,R,SARS CoV-2 N2,58666.67,0310.MUD175-1,5573.39,5607,Composite,NA,
M.U.D 175-1 LS 281,MUD#175,3/10/2021,R,SARS CoV-2 N1,65266.67,0310.MUD175-1,5474.94,5607,Composite,NA,
M.U.D 175-1 LS 281,MUD#175,3/10/2021,R,SARS CoV-2 N2,63066.67,0310.MUD175-2,5573.39,5607,Composite,NA,
M.U.D 175-1 LS 281,MUD#175,3/10/2021,R,SARS CoV-2 N1,62333.33,0310.MUD175-2,5474.94,5607,Composite,NA,
Magnolia Park,MAGNOLIA PARK,3/10/2021,R,SARS CoV-2 N2,35200,0310.MAGN-1,5573.39,19943,Composite,NA,
Magnolia Park,MAGNOLIA PARK,3/10/2021,R,SARS CoV-2 N1,59400,0310.MAGN-1,5474.94,19943,Composite,NA,
Magnolia Park,MAGNOLIA PARK,3/10/2021,R,SARS CoV-2 N2,13200,0310.MAGN-2,5573.39,19943,Composite,NA,
Magnolia Park,MAGNOLIA PARK,3/10/2021,R,SARS CoV-2 N1,21266.67,0310.MAGN-2,5474.94,19943,Composite,NA,
Market Street No.1,MARKET ST #1,3/10/2021,R,SARS CoV-2 N2,6600,0310.MARK-1,5573.39,9779,Composite,NA,
Market Street No.1,MARKET ST #1,3/10/2021,R,SARS CoV-2 N1,11000,0310.MARK-1,5474.94,9779,Composite,NA,
Market Street No.1,MARKET ST #1,3/10/2021,R,SARS CoV-2 N2,2713.33,0310.MARK-2,5573.39,9779,Composite,NA,
Market Street No.1,MARKET ST #1,3/10/2021,R,SARS CoV-2 N1,4033.33,0310.MARK-2,5474.94,9779,Composite,NA,
Saddle Brook,SADDLE BROOK,3/10/2021,R,SARS CoV-2 N2,916666.67,0310.SABR-1,5573.39,1620,Composite,NA,
Saddle Brook,SADDLE BROOK,3/10/2021,R,SARS CoV-2 N1,1092666.67,0310.SABR-1,5474.94,1620,Composite,NA,
Saddle Brook,SADDLE BROOK,3/10/2021,R,SARS CoV-2 N2,435600,0310.SABR-2,5573.39,1620,Composite,NA,
Saddle Brook,SADDLE BROOK,3/10/2021,R,SARS CoV-2 N1,500866.67,0310.SABR-2,5474.94,1620,Composite,NA,
W Canino,WEST CANINO,3/10/2021,R,SARS CoV-2 N2,13933.33,0310.WESC-1,5573.39,958,Composite,NA,
W Canino,WEST CANINO,3/10/2021,R,SARS CoV-2 N1,5866.67,0310.WESC-1,5474.94,958,Composite,NA,
W Canino,WEST CANINO,3/10/2021,R,SARS CoV-2 N2,11733.33,0310.WESC-2,5573.39,958,Composite,NA,
W Canino,WEST CANINO,3/10/2021,R,SARS CoV-2 N1,8066.67,0310.WESC-2,5474.94,958,Composite,NA,
Bissonnet  No. 4,BISSONNET#4,3/16/2021,R,SARS CoV-2 N2,19066.67,0316.BISSA-1,5632.54,54978,Composite,NA,
Bissonnet  No. 4,BISSONNET#4,3/16/2021,R,SARS CoV-2 N1,33000,0316.BISSA-1,9903.35,54978,Composite,NA,
Bissonnet  No. 4,BISSONNET#4,3/16/2021,R,SARS CoV-2 N2,26400,0316.BISSA-2,5632.54,54978,Composite,NA,
Bissonnet  No. 4,BISSONNET#4,3/16/2021,R,SARS CoV-2 N1,28600,0316.BISSA-2,9903.35,54978,Composite,NA,
West Orem,WEST OREM,3/16/2021,R,SARS CoV-2 N2,205333.33,0316.Worem-1,5632.54,3687,Composite,NA,
S. Post Oak No. 1,POST OAK#1,3/16/2021,R,SARS CoV-2 N2,25666.67,0316.SPO1-1,5632.54,8412,Composite,NA,
Woodway No. 1 LS FN 153,WOODWAY#1,3/16/2021,R,SARS CoV-2 N2,1980,0316.Woodw-1,5632.54,2424,Composite,NA,
West Orem,WEST OREM,3/16/2021,R,SARS CoV-2 N1,217800,0316.Worem-1,9903.35,3687,Composite,NA,
S. Post Oak No. 1,POST OAK#1,3/16/2021,R,SARS CoV-2 N1,34466.67,0316.SPO1-1,9903.35,8412,Composite,NA,
Woodway No. 1 LS FN 153,WOODWAY#1,3/16/2021,R,SARS CoV-2 N1,5866.67,0316.Woodw-1,9903.35,2424,Composite,NA,
Woodway No. 1 LS FN 153,WOODWAY#1,3/16/2021,R,SARS CoV-2 N2,2346.67,0316.Woodw-2,3763.21,2424,Composite,NA,
Woodway No. 1 LS FN 153,WOODWAY#1,3/16/2021,R,SARS CoV-2 N1,5793.33,0316.Woodw-2,7179.13,2424,Composite,NA,
West Orem,WEST OREM,3/16/2021,R,SARS CoV-2 N2,217066.67,0316.Worem-2,5632.54,3687,Composite,NA,
S. Post Oak No. 1,POST OAK#1,3/16/2021,R,SARS CoV-2 N2,25666.67,0316.SPO1-2,5632.54,8412,Composite,NA,
West Orem,WEST OREM,3/16/2021,R,SARS CoV-2 N1,206800,0316.Worem-2,9903.35,3687,Composite,NA,
S. Post Oak No. 1,POST OAK#1,3/16/2021,R,SARS CoV-2 N1,39600,0316.SPO1-2,9903.35,8412,Composite,NA,
Afton Village,AFTON VILLAGE,3/16/2021,R,SARS CoV-2 N2,5206.67,0316.AFVI-1,3769.08,2442,Composite,NA,
Afton Village,AFTON VILLAGE,3/16/2021,R,SARS CoV-2 N1,4033.33,0316.AFVI-1,7135.44,2442,Composite,NA,
Afton Village,AFTON VILLAGE,3/16/2021,R,SARS CoV-2 N2,2273.33,0316.AFVI-2,5632.54,2442,Composite,NA,
Afton Village,AFTON VILLAGE,3/16/2021,R,SARS CoV-2 N1,3006.67,0316.AFVI-2,9903.35,2442,Composite,NA,
Alief Central FN545,ALIEF CENTRAL,3/16/2021,R,SARS CoV-2 N2,53533.33,0316.ALIEF-1,5632.54,11114,Composite,NA,
Alief Central FN545,ALIEF CENTRAL,3/16/2021,R,SARS CoV-2 N1,70400,0316.ALIEF-1,9903.35,11114,Composite,NA,
Alief Central FN545,ALIEF CENTRAL,3/16/2021,R,SARS CoV-2 N2,52800,0316.ALIEF-2,5632.54,11114,Composite,NA,
Alief Central FN545,ALIEF CENTRAL,3/16/2021,R,SARS CoV-2 N1,55000,0316.ALIEF-2,9903.35,11114,Composite,NA,
Ayreshire,AYRESHIRE,3/16/2021,R,SARS CoV-2 N2,3300,0316.AYRE-1,5632.54,6706,Composite,NA,
Ayreshire,AYRESHIRE,3/16/2021,R,SARS CoV-2 N1,4620,0316.AYRE-1,9903.35,6706,Composite,NA,
Ayreshire,AYRESHIRE,3/16/2021,R,SARS CoV-2 N2,3006.67,0316.AYRE-2,5632.54,6706,Composite,NA,
Ayreshire,AYRESHIRE,3/16/2021,R,SARS CoV-2 N1,7333.33,0316.AYRE-2,9903.35,6706,Composite,NA,
Bintliff,BINTLIFF,3/16/2021,R,SARS CoV-2 N2,20533.33,0316.BINT-1,5632.54,10644,Composite,NA,
Bintliff,BINTLIFF,3/16/2021,R,SARS CoV-2 N1,35200,0316.BINT-1,9903.35,10644,Composite,NA,
Bintliff,BINTLIFF,3/16/2021,R,SARS CoV-2 N2,24933.33,0316.BINT-2,5632.54,10644,Composite,NA,
Bintliff,BINTLIFF,3/16/2021,R,SARS CoV-2 N1,26400,0316.BINT-2,9903.35,10644,Composite,NA,
Brock LS 26,BROCK,3/16/2021,R,SARS CoV-2 N2,55000,0316.BROC-1,3769.08,27548,Composite,NA,
Brock LS 26,BROCK,3/16/2021,R,SARS CoV-2 N1,55733.33,0316.BROC-1,7135.44,27548,Composite,NA,
Brock LS 26,BROCK,3/16/2021,R,SARS CoV-2 N2,41066.67,0316.BROC-2,5632.54,27548,Composite,NA,
Brock LS 26,BROCK,3/16/2021,R,SARS CoV-2 N1,31533.33,0316.BROC-2,9903.35,27548,Composite,NA,
Carvel,CARVEL,3/16/2021,R,SARS CoV-2 N2,17600,0316.CARV-1,5632.54,20741,Composite,NA,
Carvel,CARVEL,3/16/2021,R,SARS CoV-2 N1,27133.33,0316.CARV-1,9903.35,20741,Composite,NA,
Carvel,CARVEL,3/16/2021,R,SARS CoV-2 N2,28600,0316.CARV-2,5632.54,20741,Composite,NA,
Carvel,CARVEL,3/16/2021,R,SARS CoV-2 N1,33000,0316.CARV-2,9903.35,20741,Composite,NA,
Chatwood,CHATWOOD,3/16/2021,R,SARS CoV-2 N2,51333.33,0316.CHAT-1,5632.54,2594,Composite,NA,
Chatwood,CHATWOOD,3/16/2021,R,SARS CoV-2 N1,77733.33,0316.CHAT-1,9903.35,2594,Composite,NA,
Chatwood,CHATWOOD,3/16/2021,R,SARS CoV-2 N2,82133.33,0316.CHAT-2,5632.54,2594,Composite,NA,
Chatwood,CHATWOOD,3/16/2021,R,SARS CoV-2 N1,97533.33,0316.CHAT-2,9903.35,2594,Composite,NA,
Eddington LS 459,EDDINGTON,3/16/2021,R,SARS CoV-2 N2,64533.33,0316.EDDI-1,5632.54,11946,Composite,NA,
Eddington LS 459,EDDINGTON,3/16/2021,R,SARS CoV-2 N1,59400,0316.EDDI-1,9903.35,11946,Composite,NA,
Eddington LS 459,EDDINGTON,3/16/2021,R,SARS CoV-2 N2,44733.33,0316.EDDI-2,5632.54,11946,Composite,NA,
Eddington LS 459,EDDINGTON,3/16/2021,R,SARS CoV-2 N1,52800,0316.EDDI-2,9903.35,11946,Composite,NA,
Ferguson Way,FERGUSON WAY,3/16/2021,R,SARS CoV-2 N2,245666.67,0316.FERG-1,28162.68,2013,Composite,NA,
Ferguson Way,FERGUSON WAY,3/16/2021,R,SARS CoV-2 N1,330000,0316.FERG-1,49516.73,2013,Composite,NA,
Ferguson Way,FERGUSON WAY,3/16/2021,R,SARS CoV-2 N2,300666.67,0316.FERG-2,28162.68,2013,Composite,NA,
Ferguson Way,FERGUSON WAY,3/16/2021,R,SARS CoV-2 N1,388666.67,0316.FERG-2,49516.73,2013,Composite,NA,
Fondren No.2,FONDREN#2,3/16/2021,R,SARS CoV-2 N2,15400,0316.FON2-1,5632.54,17237,Composite,NA,
Fondren No.2,FONDREN#2,3/16/2021,R,SARS CoV-2 N1,15400,0316.FON2-1,9903.35,17237,Composite,NA,
Fondren No.2,FONDREN#2,3/16/2021,R,SARS CoV-2 N2,17600,0316.FON2-2,5632.54,17237,Composite,NA,
Fondren No.2,FONDREN#2,3/16/2021,R,SARS CoV-2 N1,24933.33,0316.FON2-2,9903.35,17237,Composite,NA,
Heights,HEIGHTS,3/16/2021,R,SARS CoV-2 N2,118066.67,0316.HEIG-1,5632.54,1724,Composite,NA,
Heights,HEIGHTS,3/16/2021,R,SARS CoV-2 N1,148866.67,0316.HEIG-1,9903.35,1724,Composite,NA,
Heights,HEIGHTS,3/16/2021,R,SARS CoV-2 N2,114400,0316.HEIG-2,5632.54,1724,Composite,NA,
Heights,HEIGHTS,3/16/2021,R,SARS CoV-2 N1,129800,0316.HEIG-2,9903.35,1724,Composite,NA,
Janisch Rd,JANISCH RD,3/16/2021,R,SARS CoV-2 N2,28600,0316.JANI-1,5632.54,783,Composite,NA,
Janisch Rd,JANISCH RD,3/16/2021,R,SARS CoV-2 N1,32266.67,0316.JANI-1,9903.35,783,Composite,NA,
Janisch Rd,JANISCH RD,3/16/2021,R,SARS CoV-2 N2,42533.33,0316.JANI-2,5632.54,783,Composite,NA,
Janisch Rd,JANISCH RD,3/16/2021,R,SARS CoV-2 N1,46933.33,0316.JANI-2,9903.35,783,Composite,NA,
Kirkwood #3 LS/CFS 340,KIRKWOOD#3,3/16/2021,R,SARS CoV-2 N2,30066.67,0316.KIRK-1,5632.54,17464,Composite,NA,
Kirkwood #3 LS/CFS 340,KIRKWOOD#3,3/16/2021,R,SARS CoV-2 N1,34466.67,0316.KIRK-1,9903.35,17464,Composite,NA,
Kirkwood #3 LS/CFS 340,KIRKWOOD#3,3/16/2021,R,SARS CoV-2 N2,37400,0316.KIRK-2,5632.54,17464,Composite,NA,
Kirkwood #3 LS/CFS 340,KIRKWOOD#3,3/16/2021,R,SARS CoV-2 N1,38133.33,0316.KIRK-2,9903.35,17464,Composite,NA,
M.U.D 175-1 LS 281,MUD#175,3/16/2021,R,SARS CoV-2 N2,23466.67,0316.MUD175-1,5632.54,5607,Composite,NA,
M.U.D 175-1 LS 281,MUD#175,3/16/2021,R,SARS CoV-2 N1,30066.67,0316.MUD175-1,9903.35,5607,Composite,NA,
M.U.D 175-1 LS 281,MUD#175,3/16/2021,R,SARS CoV-2 N2,35933.33,0316.MUD175-2,5632.54,5607,Composite,NA,
M.U.D 175-1 LS 281,MUD#175,3/16/2021,R,SARS CoV-2 N1,55733.33,0316.MUD175-2,9903.35,5607,Composite,NA,
Magnolia Park,MAGNOLIA PARK,3/16/2021,R,SARS CoV-2 N2,70400,0316.MAGN-1,5632.54,19943,Composite,NA,
Magnolia Park,MAGNOLIA PARK,3/16/2021,R,SARS CoV-2 N1,91666.67,0316.MAGN-1,9903.35,19943,Composite,NA,
Magnolia Park,MAGNOLIA PARK,3/16/2021,R,SARS CoV-2 N2,41800,0316.MAGN-2,5632.54,19943,Composite,NA,
Magnolia Park,MAGNOLIA PARK,3/16/2021,R,SARS CoV-2 N1,85800,0316.MAGN-2,9903.35,19943,Composite,NA,
Market Street No.1,MARKET ST #1,3/16/2021,R,SARS CoV-2 N2,11733.33,0316.MARK-1,5632.54,9779,Composite,NA,
Market Street No.1,MARKET ST #1,3/16/2021,R,SARS CoV-2 N1,13933.33,0316.MARK-1,9903.35,9779,Composite,NA,
Market Street No.1,MARKET ST #1,3/16/2021,R,SARS CoV-2 N2,8800,0316.MARK-2,5632.54,9779,Composite,NA,
Market Street No.1,MARKET ST #1,3/16/2021,R,SARS CoV-2 N1,19800,0316.MARK-2,9903.35,9779,Composite,NA,
North Eldridge,N ELDRIDGE,3/16/2021,R,SARS CoV-2 N2,66733.33,0316.nELDR-1,5632.54,4541,Composite,NA,
North Eldridge,N ELDRIDGE,3/16/2021,R,SARS CoV-2 N1,78466.67,0316.nELDR-1,9903.35,4541,Composite,NA,
North Eldridge,N ELDRIDGE,3/16/2021,R,SARS CoV-2 N2,74800,0316.nELDR-2,5632.54,4541,Composite,NA,
North Eldridge,N ELDRIDGE,3/16/2021,R,SARS CoV-2 N1,67466.67,0316.nELDR-2,9903.35,4541,Composite,NA,
Richmond Ave No.1 FN349,RICHMOND AVE#1,3/16/2021,R,SARS CoV-2 N2,27866.67,0316.Richmond-1,5632.54,14857,Composite,NA,
Richmond Ave No.1 FN349,RICHMOND AVE#1,3/16/2021,R,SARS CoV-2 N1,28600,0316.Richmond-1,9903.35,14857,Composite,NA,
Richmond Ave No.1 FN349,RICHMOND AVE#1,3/16/2021,R,SARS CoV-2 N2,27133.33,0316.Richmond-2,5632.54,14857,Composite,NA,
Richmond Ave No.1 FN349,RICHMOND AVE#1,3/16/2021,R,SARS CoV-2 N1,23466.67,0316.Richmond-2,9903.35,14857,Composite,NA,
Saddle Brook,SADDLE BROOK,3/16/2021,R,SARS CoV-2 N2,5133.33,0316.SABR-1,5632.54,1620,Composite,NA,
Saddle Brook,SADDLE BROOK,3/16/2021,R,SARS CoV-2 N1,9533.33,0316.SABR-1,9903.35,1620,Composite,NA,
Saddle Brook,SADDLE BROOK,3/16/2021,R,SARS CoV-2 N2,10266.67,0316.SABR-2,5632.54,1620,Composite,NA,
Saddle Brook,SADDLE BROOK,3/16/2021,R,SARS CoV-2 N1,8800,0316.SABR-2,9903.35,1620,Composite,NA,
Stella Link FN575,STELLALINK,3/16/2021,R,SARS CoV-2 N2,5866.67,0316.StellaLink-1,5632.54,5673,Composite,NA,
Stella Link FN575,STELLALINK,3/16/2021,R,SARS CoV-2 N1,11000,0316.StellaLink-1,9903.35,5673,Composite,NA,
Stella Link FN575,STELLALINK,3/16/2021,R,SARS CoV-2 N2,18333.33,0316.StellaLink-2,5632.54,5673,Composite,NA,
Stella Link FN575,STELLALINK,3/16/2021,R,SARS CoV-2 N1,22733.33,0316.StellaLink-2,9903.35,5673,Composite,NA,
W Canino,WEST CANINO,3/16/2021,R,SARS CoV-2 N2,82866.67,0316.WESC-1,5632.54,958,Composite,NA,
W Canino,WEST CANINO,3/16/2021,R,SARS CoV-2 N1,90200,0316.WESC-1,9903.35,958,Composite,NA,
W Canino,WEST CANINO,3/16/2021,R,SARS CoV-2 N2,85066.67,0316.WESC-2,5632.54,958,Composite,NA,
W Canino,WEST CANINO,3/16/2021,R,SARS CoV-2 N1,98266.67,0316.WESC-2,9903.35,958,Composite,NA,
W.C.I.D. 78,WCID#078,3/16/2021,R,SARS CoV-2 N2,63066.67,0316.WCID-1,5632.54,6350,Composite,NA,
W.C.I.D. 78,WCID#078,3/16/2021,R,SARS CoV-2 N1,71866.67,0316.WCID-1,9903.35,6350,Composite,NA,
W.C.I.D. 78,WCID#078,3/16/2021,R,SARS CoV-2 N2,55733.33,0316.WCID-2,5632.54,6350,Composite,NA,
W.C.I.D. 78,WCID#078,3/16/2021,R,SARS CoV-2 N1,77000,0316.WCID-2,9903.35,6350,Composite,NA,
Westhollow Dr. FN297,WESTHOLLOW,3/16/2021,R,SARS CoV-2 N2,8066.67,0316.Westhollow-1,5632.54,3171,Composite,NA,
Westhollow Dr. FN297,WESTHOLLOW,3/16/2021,R,SARS CoV-2 N1,11733.33,0316.Westhollow-1,9903.35,3171,Composite,NA,
